שם חנות,שם הקניון,עיר,כתובת לוגו,שעות פתיחה,קטגוריה,קומה,טלפון,תיאור,כתובת
rebar,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:06",אוכל,3,03-5730666,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
צומת ספרים,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:07",ספרים,1,03-5730966,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
סטימצקי,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:08",ספרים,1,03-6030127,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
אופטיקה הלפרין,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:09",אופטיקה,3,03-6748184,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
אופטיקנה,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:10",אופטיקה,2,03-7311340,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
carolina lemke,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:11",אופטיקה,1,03-5099111,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
ורדינון,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:12",מוצרים לבית,1,03-5739975,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
סולתם,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:13",מוצרים לבית,3,03-7440255,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
golf & co,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:14",מוצרים לבית,2,03-7312281,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
דואר ישראל - סניף מסירת חבילות בלבד,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:15",סידורים,1,03-6290763,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
מפעל הפיס,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:16",סידורים,1,,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
קופת חולים מאוחדת,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:17",מרפאות,5,03-5721919,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
כללית שירותי בריאות,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:18",מרפאות,5,03-7330800,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים
